count,text
2,"Don't miss the CECS Design Showcase, starting soon in Tansey Gym and running from 5-7pm. Come support Wentworth sen… https://t.co/xsIaB89gg1"
2,Curious about what goes into restoring a UNESCO World Heritage Site? Professor Hajar Jafferji is covering the uniqu… https://t.co/65Z1YVFWzb
2,Congratulations to our #WentworthIt team for finishing their 200 mile relay over the weekend! 🎉 They have almost re… https://t.co/be8pRMdHZM
2,Check out the senior Construction Management project presentations in the Annex tomorrow from 9am-12pm and 1pm-4pm!… https://t.co/NUSFopnuLz
2,Are you ready for #WITInaugurationWeek? Attend our on-campus events all week as we count down to President Mark Tho… https://t.co/9UYeKKqPJ9
1,https://t.co/9hrW1w8p11
1,"What's on the menu for lunch today? How about Da Bomb BBQ, parked on Vancouver St. from 11:30-1:30 today.… https://t.co/fIZtmOJXDH"
1,Wentworth's #Classof2019 has big ideas for the local community. #Boston #commencement #SeniorWeek https://t.co/u6QculaZT6
1,"We'll be showing ""Thank You for Smoking"" in Beatty 426 tonight at 6:30pm as part of our Management Film Festival.… https://t.co/yr5JcxmRrY"
1,We are honored to have so many passionate and inspiring teachers! Thank you all for the hard work that you do and s… https://t.co/1fYrfXM2vr
1,Today's the day! Don't forget to bring copies of your resume and dress your best for the CO-OP + CAREER Fair tonigh… https://t.co/7zmvjBzDzY
1,Today's the big day. Big welcome to all of our First Year students! https://t.co/HoWGAsIfP2
1,Today's Women's Lunch with keynote speaker Karyn Thompson begins in 1 hr in Watson Auditorium. https://t.co/bPyx5h1JUD #WITInaugurationWeek
1,The tent is all set up and ready to go! Will you be joining us at commencement this Sunday? All the information tha… https://t.co/HO6YusCShQ
1,The annual Student Planner Cover Design Contest is accepting submissions! Due by 1pm May 29. The winning student de… https://t.co/7iLb2TUEUr
1,"Speaker of the House Nancy Pelosi, has invited assistant professor Allison Lange to a reception at the Capitol to m… https://t.co/5FskNOUygp"
1,Remembering the victims of September 11th today. #neverforget #Remembering911 https://t.co/KJPuwmHDXA
1,"RT @sustainableWIT: Takeaways from the “Climate Matters” Annex Lecture Series
""Not a Pretty Picture: The Role of Art and Design in Addressi…"
1,"RT @sustainableWIT: Bring a Reusable Mug! Be Green and Save Green
@wentworthinst 
@ChartwellsCOF https://t.co/B1FMbu79nc"
1,RT @colleges_fenway: On campus for the holiday? Join us for our annual COF Thanksgiving Day Lunch. November 28th at 12pm in the MassArt Ken…
1,RT @colleges_fenway: Join us for Bowling Night at Kings! It's FREE for COF students. Registration closes on November 25th! More information…
1,"RT @colleges_fenway: Come join us for a screening of The Sequel, a film centered around sustainability and the effects our actions have on…"
1,"RT @Witwellness: Come to WIT’s Fresh Check Day on 09/17/2019 from 11am-2pm at The Quad. #freshcheckdaywit will feature music, food, games,…"
1,"RT @WentworthCPCE: Congratulations to Carlie Biron, who was a recipient of the Philip J. Brooks Alumni Leadership Award. The award is prese…"
1,RT @WentworthAlumni: We are currently celebrating Hispanic Heritage Month! We are proud to support our students and alumni of Hispanic heri…
1,"RT @WITadmissions: Thinking about transferring to Wentworth? Our Transfer Open House is just 9️⃣ days away! In our Ask Admissions blog, we…"
1,RT @WITadmissions: The best way to experience Wentworth is to visit campus! Spaces are still available for our Saturday information session…
1,"RT @WITadmissions: Once again, Boston officials are turning to Wentworth students and faculty to reimagine the use of City property—this ti…"
1,RT @WITadmissions: Great scenes from our annual Fall BBQ on the Wentworth Quad! Enjoying one last Friday of summer! ☀️ 🍔 🌭 https://t.co/ph0…
1,RT @WITTechSpot: We'll be closed on Monday (10/14) as @wentworthinst observes Columbus Day. Tweet if you need us or check out https://t.co/…
1,"RT @WITPlanning: ⁦@wentworthinst⁩ Our Center for Innovation, Engineering and Sciences project received the Best Practice Award for a Large-…"
1,RT @WITLibrary: We're hiring for the fall semester! Visit https://t.co/gxw6x6m1DS to apply. https://t.co/YmWugTCFMD
1,"RT @WITLibrary: Now on display is #TBTwenties: Student Memorabilia and Tools in the 1920s, which includes books, mementos and tools belongi…"
1,RT @WITLibrary: Have Federal Work Study and want to work in the Library? We need shelvers and students to work at our Circulation Desk. You…
1,"RT @WITLeopard: There are still Senior week tickets for the Arcade Night, Boat Cruise, Senior sendoff, BBQ and Brunch! Guest tickets for al…"
1,"RT @WITCoopsCareers: “At Tesla, people are not necessarily going to tell you how to do things. They give you a problem and they want a solu…"
1,"RT @EducatorsHealth: Great job @wentworthinst staff who are edHEALTH’s 2019 walking champions! Together they averaged 311,908 steps/walker…"
1,"RT @CasellaWaste: Sarah Healey, Account Manager at our Peabody, #MA location has been working with @wentworthinst to help train student wor…"
1,RT @AlexCabal82: I’m proud to be a First Generation College Student. I’m proud to be one of many FirstGen faculty and staff at @wentworthin…
1,Professor Allison Lange Appears in ‘State of Equality’ on PBS https://t.co/cxHQmOWSW3 https://t.co/Dci26ioSoo
1,Prep work is starting this week on the new roof top terrace above the fitness center in Beatty Hall. The reading lo… https://t.co/8RAveRp3l8
1,Only one week left to #SpotMark around campus. Grab a selfie with President Mark Thompson and post it to Instagram… https://t.co/Vnm8dpRtPI
1,"On May 10 &amp; 11 a team of 12 Wentworth faculty, staff, and students will run the 2019 Cape Cod Ragnar Relay, a 200-m… https://t.co/FFHIedEl15"
1,New exchange program for Wentworth business students @ebs_Paris!  https://t.co/ufYoPviBdB https://t.co/WKnJYN4BHC
1,"Need professional attire for the Fair this week? Stop by WITwear's extended hours, today and tomorrow from 12 - 8 a… https://t.co/YO8RMafDD1"
1,Need lunch ideas today? Why not grab some $5 BBQ on the front lawn from 11:30am - 1:30pm. This week's special is pulled chicken!
1,"Mock Interview Day is tomorrow in Watson Auditorium from 3PM - 6PM. If you haven't registered, be sure to sign up i… https://t.co/G959G45cPJ"
1,Learn how Wentworth is reaffirming support for veterans and military-affiliated students https://t.co/ux2E2z1WJZ… https://t.co/KVNUUsaPfb
1,"Join us tomorrow, June 5th, at 11:30am to welcome President Mark Thompson to Wentworth! There will be a great BBQ w… https://t.co/FaeDANQU5q"
1,Join President Thompson for some free food and fun at the annual Fall BBQ on the Wentworth Quad from 11:30 AM - 1:3… https://t.co/5mBPh5woiX
1,Jason Mauro from New England Infrastructure will lead today's Civil Industry Speaker Series at noon in Beatty 426.… https://t.co/H9NQagevGI
1,It feels like Fall today. Is everyone ready to get #BackToSchool2019 next week? https://t.co/0MoTBg5VsP
1,Is your resume CO-OP + CAREER Fair ready? Drop into the Library or CO-OP + CAREERS office between 10 – 4 today or M… https://t.co/MyEV1kzoNM
1,How about some $5 BBQ on the front lawn for lunch? @WITCoopsCareers will also have a photo booth set up for graduat… https://t.co/eXGeZlhAEH
1,"Have you signed up for next week's ""Whatever It Takes to Achieve the Impossible"" event on 10/15? A panel of experts… https://t.co/9lMSuMyF6Y"
1,Have a question about @witcoopsandcareers Fall event series? Stop by the Leopard Booth in front of Beatty over the… https://t.co/kRcpzRKZ3C
1,"Happy Halloween from Wentworth Institute of Technology! Have fun, stay safe and enjoy the day! #witpride… https://t.co/aacKHGaWS4"
1,Happy 4th to everyone in the Wentworth community and beyond! Stay safe and have a good long weekend. https://t.co/OeLmAg0WzC
1,"FYI, Wentworth Students. The Colleges of the Fenway Block Party has been postponed to next Friday. https://t.co/LwLkrZTX0c"
1,Cap &amp; Gown pick-up today from 3:30 - 7pm. Don't forget to fill out your Class of 2019 graduate survey ahead of time… https://t.co/qp6FgbCxCb
1,9 students and 2 faculty advisors from the Wentworth SAE Baja club participated in an annual competition hosted by… https://t.co/vPrwb4JFje
0,"Will you be joining us at commencement this Sunday? All the information that you need about the ceremony, parking,… https://t.co/J8PGdwQkIX"
0,We would like to have a last round of applause for President Pantić leading tomorrows spring commencement. We are h… https://t.co/ttEHuFoHwi
0,"Waiting for January 21st like😮😮

#WorthTheWait https://t.co/UEk27bHFIt"
0,Visit the Schumann Library at 4:00 PM today to celebrate the opening of the exhibit “Innovative Dwellings: Case Stu… https://t.co/tjJw4WAxUB
0,"Under President Pantić’s tenure, the Institute implemented EPIC experiential learning. Learn more on our website -… https://t.co/VNsJJnHGLQ"
0,"Tomorrow's the big day! The Inauguration of Wentworth's fifth president, Dr. Mark A. Thompson, is happening at 10AM… https://t.co/ORCEkhgOD9"
0,"Tomorrow's Leopard Lunch &amp; Learn will is called Etiquette Lunch, with Boston Etiquette Academy. Join us at 11am in… https://t.co/qkDSbnBjNa"
0,Tomorrow's Civil Industry Lecture Series will be on Existing Building Upgrades for Aesthetics and Structural Capaci… https://t.co/LySLkuGGmE
0,Thinking about what you're going to eat this morning? Stop by the Ira Allen Forum for free coffee &amp; breakfast with… https://t.co/fD0MBnOgRe
0,There's still time left to visit the Farmers' Market in Beatty. Stop by before 2pm! https://t.co/25rdJI8I20
0,The library will close at 3pm this afternoon and reopen on Sunday 7/7 at 1pm. https://t.co/NlL5uhbobu
0,"The W hits shelves next week, but why wait? Catch great stories like this one about the Inauguration of President M… https://t.co/UL5GMcqVUi"
0,"The Senior Week Harbor Boat Cruise is TONIGHT at 6:30, leaving from the Seaport World Trade Center. Don't miss the… https://t.co/Mshl1XD5sa"
0,The Senior Send-Off Reception for the Class of 2019 starts in a half hour on Tansey Gym. https://t.co/GpeVrUCpSG https://t.co/f9mILtutZL
0,"The Museum of Fine Arts is showing ""The Trouble With You"" tonight at 8:30pm as part of their Sunset Cinema Series.… https://t.co/DazOQQzhR7"
0,Tacos Don Beto will be on campus for lunch today from 11:30-1:30. Check them out on Vancouver St. in front of the M… https://t.co/iX189DTcwO
0,Stop by the Wentworth front lawn from 11:30am to 1:30pm for $5 BBQ. This week's special is pulled pork!… https://t.co/cCbsaXex9C
0,"Stop by the Ira Allen Forum on Monday, June 10 from 8:30 to 9:30am for a Coffee &amp; Breakfast meet up with President… https://t.co/sJIirDb5ht"
0,"Stop by the Commons, on the first floor of the CEIS building, today between 3:30 - 4:40pm and say hello to Presiden… https://t.co/KdYWIfgoHw"
0,Sending the #WentWorthIt team all our support for their race at #ragnarcapecod! They will be running 200 miles this… https://t.co/hyM4tK37ZL
0,"Robbin Beauchamp, Director of @WITCoopsCareers, offers her knowledge and experience around finding summer and full-… https://t.co/932KentQBP"
0,Reminder to the Wentworth community that there's a Shelter in Place drill scheduled for tomorrow morning. Learn how… https://t.co/yBmhjofT8B
0,Ready to make a job change? Join the College of Professional and Continuing Education (CPCE) from 5-8pm on June 20… https://t.co/SDKCMp8rsB
0,"REMINDER: Transfer Open House is this Thursday, November 14 from 5 - 7PM. If you're thinking of transferring, come… https://t.co/jOb6YyzBLn"
0,REMINDER: Motivation workshops with Professor Jonathan D Stolk start at 10AM in the CEIS Accelerate Space.… https://t.co/qIP9XxxCMT
0,President Thompson's inauguration starts soon in Watson Auditorium! Don't miss your chance to hear his thoughts abo… https://t.co/TKPoXGz6Dj
