count,text
14,We're aiming to expand both our number of graduate students and graduate programs at #RIT. Learn more from… https://t.co/QyhH0wokdm
14,"Third-year film and animation major Victoria Sebastian created a film about Macie the therapy dog and her owner,… https://t.co/88PtFextdF"
14,"Hot glass, interpretive dance and vivid colors ruled the stage as @RIT_artdesign's @RITGlass partnered with… https://t.co/afsMTcHM1u"
14,Big win for men's hoops to start their Liberty League schedule! #RIT #TigerPride https://t.co/U5d8IOR2d0
13,Women's basketball picks up a key road win. #RIT #TigerPride https://t.co/irleqGyT0X
13,"Several campus projects are on the horizon, including the Innovative Maker and Learning Complex. Learn more: https://t.co/ijGPa4rMqZ #RIT"
13,"ICYMI: the latest episode of Intersections: The #RIT Podcast featured @JOSHOWENDESIGN, director of @RIT_ID, and Rog… https://t.co/74pUXOQu2y"
13,"ICYMI: Caroline Easton, prof. in #RIT’s School of Behavioral Health, talks with Jacob Wadsworth, a doctoral intern,… https://t.co/nvh0S6riVy"
13,".@RIT_artdesign Glass students leveraged resources in @RITscience, including the Munsell Color Science Lab and… https://t.co/xwd4uDIAqZ"
13,".@RITNTID and @RIT_artdesign alumna Wendy Maruyama will be featured on @CraftinAmerica: IDENTITY, airing on @PBS on… https://t.co/l1cLu5bile"
13,"#RIT is joining Degrees When Due, a national initiative of @iHELPtweets, to help people who have some college credi… https://t.co/eSbEkmhY9a"
13,"#RIT 365, a program for first-year students, provides exposure to educational and social opportunities within a fra… https://t.co/ZV39pRS4Td"
12,The offense broke out to help @RITMHKY rout Mercyhurst. Same two teams are back at it later today. #RIT #TigerPride https://t.co/ZT2TH1Th6T
12,"On the latest episode of Intersections: The #RIT Podcast, @michelleny, director of @RITWellness, talks with student… https://t.co/aFgRSIn9Jh"
12,How cool is it that we have @VignelliCenter right here on campus? https://t.co/358C5bMGsa
12,#RIT and the Instituto Argentino de Radioastronomía have collaborated to make the first pulsar observations from So… https://t.co/OEEPZUgTD2
11,Today! @RITMHKY takes the ice against Guelph at 3:05 pm! #RIT https://t.co/wO21wOe5yE
11,Thinking about #RIT? Take a tour from the comfort of your couch. Use your laptop or a VR headset and learn about ou… https://t.co/DcS46EIjAB
11,"Students in #RIT’s Grand Challenge Scholars program presented their projects in a poster session, detailing possibl… https://t.co/q1vTLhEyVo"
11,Rob Goldman '84 wanted to focus on something new after years of working in commercial photography. He found success… https://t.co/r6K6DLFI6e
11,"ICYMI: For the last several decades, volunteer groups have played a pivotal role in keeping #RIT’s curriculum relev… https://t.co/rIjKWM6tKp"
11,"Edward D. Shanshala, the @RIThealthsci 2019 Distinguished Alumnus, is the CEO of Ammonoosuc Community Health Servic… https://t.co/fvo9OoS8Cs"
11,Blake from @RITNTID is back with more #asl signs you can use this winter! #RIT #NTID https://t.co/DrbX0MIi34
11,".@RITPresident will field your questions live on WITR-FM (89.7) tomorrow, Dec. 11 at 1pm! To ask a question, tweet… https://t.co/nMYo88scUo"
11,#RIT students took top honors at the annual #ROC the Project competition to increase awareness and volunteer servic… https://t.co/JRbGfM0EC9
10,The 38th annual @RITDiversity Expressions of King's Legacy event has added slam and spoken word poet @javonism and… https://t.co/qhkMFMr0U4
10,"Reminder: It's the final day to make changes to your schedule without getting a ""W"" on your transcript.

Be sure to… https://t.co/FFfBKXXrFE"
10,"How do you make a great music video? It helps to have Drama &amp; Magic. Check out the latest from @TheDramaDuo, shot a… https://t.co/1OZuws0Zaj"
10,"Hey Tigers...now that the semester is officially over, what are you most excited to do during break? #RIT"
10,"Good luck, Tigers! #TigerPride https://t.co/Ms7B1NcabS"
10,".@FastCompany featured @matthewapeltier '13 (new media interactive development), founder and CEO of… https://t.co/3aQ49gNa62"
9,"We're having so much fun giving out compliments today! We're still here, watching for your requests. #NationalComplimentDay rolls on. #RIT"
9,Four companies in #RIT's @VC_Incubator have made an impact in New York state-funded business competitions. Learn mo… https://t.co/1JKigeIOiZ
9,"Did you know that @ritlibraries has a bookwheel, a 16th century invention that allows the user to read multiple boo… https://t.co/JhcRAj5fcG"
9,Are you caught up on the latest episodes of Intersections: The #RIT Podcast? It's our twice-monthly conversation be… https://t.co/8B37Om0EiA
9,...and the men's squad too! https://t.co/wWlnx5eF3m
8,RIT’s Air Force ROTC detachment honored Col. Andrew “Doc” Dougherty during a ceremony on Dec. 6 at the university f… https://t.co/e9IgN0OreW
8,"Magic, indeed: The @DandC's @leoroth looks back at our #FrozenFour run, ahead of Saturday's celebration. #RIT… https://t.co/TIEMyZbBQt"
8,"Joey Zeledón ’06 (@RIT_ID) has a new design, the Coat Check Chair, made from a shaped metal rod and plastic coat ha… https://t.co/ltKLNUPSDr"
8,Four multidisciplinary student teams got the opportunity to pitch their business ideas to potential investors at th… https://t.co/pyOTuJL7tA
8,#RIT is changing how business leadership in the health systems industry is taught through a hybrid online program t… https://t.co/Nq8QN0ffIj
7,There's still time to submit your proposal for @Imagine_RIT! The call for proposals is open until Feb. 1. Details:… https://t.co/86QXQTlRgp
7,"The best college teams from around the world faced off at the Collegiate Penetration Testing Competition, the world… https://t.co/hcX9NTnAZb"
7,Read the podcast transcript here: https://t.co/azwgFnkjLu
7,Putting one in the win column: @RITbasketball beat Bard Saturday. https://t.co/lU0ESoixnz
7,Big wins this weekend for women's swimming and diving... https://t.co/mzxqyjo57T
7,Are you the type who likes to use multiple social media platforms? We're on @Facebook too! Follow us there: https://t.co/mdTgmMaFtO #RIT
7,@MissWesleyODY @GreeceOdyssey @AVID4College @GreeceCentral Congratulations to David! 🐯
7,"#FollowFriday: Academic Programs 📝

We have too many amazing programs on Twitter to list in one tweet....so check o… https://t.co/wb6O7hs06v"
6,"In her new book, The Politics of War Powers, @sarahmackenzieb takes a look at the evolution of presidential war pow… https://t.co/t0f0w2Hhkj"
6,"Alice Jo Lichtman '79, the 2019 @RITGolisanoCCIS Distinguished Alumna, is a retired principal systems consultant at… https://t.co/ialKUDZwgx"
6,@michelleny @RITWellness Read a transcript of this podcast: https://t.co/WnppZ8aAMV
5,@RIT_Alumni That's a very spirited group! We love the enthusiasm. Bring those paws to the game on Saturday! #NationalComplimentDay
4,@RITPepBand @RITMHKY @RITWHKY @RIT_CornerCrew https://t.co/dwfejC2zUJ
4,"@Jeffmmaol We can't help but admire that plant's perseverance. It looks like it has had a rough go of it, but it ha… https://t.co/fCtRShuc1h"
4,@AndrewAthias @ShayShayButta30 @mstry001 Whatever happens tonight our undefeated streak will remain intact.
3,You can read the podcast transcript here: https://t.co/azwgFnkjLu
3,@trierweilerjohn That cat is a camouflage artist! And so fluffy. 10/10 would like to pet. #NationalComplimentDay
