count,text
36,“Prepare. Do the work. But then be open to being inspired. You don’t have to lock yourself into a one-lane directio… https://t.co/NmHLSM8AEZ
36,"Keys to the World: Special education junior shares how study abroad opens doors to opportunities, self-discovery… https://t.co/EbtUYM3XwI"
36,"If states want to avoid costly electricity failures such as the blackouts that roiled California recently, they can… https://t.co/KZkT08YitZ"
36,Drilling for Clean Energy | A new initiative at UT positions Texas as a leader in geothermal energy:… https://t.co/wLML6RYYD5
36,".@washingtonpost named it one of the top 10 movies of 2019 #WhatStartsHere 🌎

https://t.co/66s9tHq3UQ"
34,"Students: As you prepare for finals, remember self-care comes in many forms  — not just spa days and face masks:… https://t.co/wkvlLXW2gy"
34,New research from @txgeosciences shows ramping up carbon capture could be key to mitigating climate change:… https://t.co/K1nkClcEnL
34,"In case you need another reason to stick to your health-focused New Year’s resolutions, UT researchers have found t… https://t.co/pScTbJJLtl"
34,"ICYMI: @txgeosciences researchers discovered a reservoir of frozen water on Mars so large that, if melted, would co… https://t.co/yENbOgPKFC"
33,Meet the next generation of health professionals who are making a difference now: https://t.co/Knxl7U1rB3 @DellMedSchool
33,How we transport water in our bodies inspires new water filtration method: https://t.co/JPBnmD9tcc via… https://t.co/Z5kf0Zn5Pe
33,.@ic2institute is starting a yearlong study in West Texas to inform an economic development strategy based on the c… https://t.co/CRr1FrSlWz
33,.@TexasScience researchers are improving brain imaging with deep learning: https://t.co/ZyieX7dOY8 https://t.co/APPSrjjCrN
32,"“We want to see if life on Earth is unique or if it could have developed elsewhere in the galaxy.""

With a team fro… https://t.co/28Fymd9dQX"
32,UT’s first-of-its-kind Department of Health Social Work reflects medicine’s need to see the whole person — and the… https://t.co/k5f3laBxYW
32,"Thanks to @txgeosciences, you can 3D print a piece of Mars for the holidays: https://t.co/GbDJrR8kXL https://t.co/m0gc6qlj55"
32,"Even though Texas winter can mean 70 degrees and sunny, many of our scientists are bundling up to do their work.… https://t.co/4N9gKXDWmw"
32,.@universitycoop is adding a new twist to the standard semester-long internship experience: https://t.co/K0zHaeFIZw… https://t.co/MML1IZjoz5
32,"""I brought food to meetings, but people still aren’t productive. What gives?""

Tips on how genuinely caring makes o… https://t.co/Inp3jKWIm1"
31,"See y'all there #HiHowAreYouDay2020

https://t.co/E4qejpykVT"
